R2_lm,R2_rf
-0.283809233,-0.093133477
-0.283377487,-0.092356444
-0.281057251,-0.090972162
-0.280991243,-0.086805027
-0.278243993,-0.084671978
-0.27534635,-0.084406998
-0.272320859,-0.079600401
-0.271705895,-0.079004799
-0.267157822,-0.078367744
-0.263955748,-0.076876381
-0.263878629,-0.076334724
-0.26031909,-0.075756067
-0.259803045,-0.07181388
-0.254741044,-0.070325049
-0.253523767,-0.068513345
-0.249197598,-0.065720156
-0.244951633,-0.065202176
-0.242785019,-0.063097295
-0.242151193,-0.057698516
-0.241347609,-0.056342246
-0.2383682,-0.055715577
-0.235994519,-0.054739344
-0.235789782,-0.052825937
-0.231269985,-0.052669178
-0.231122609,-0.052329938
-0.23105779,-0.051456243
-0.228487033,-0.049597584
-0.226855022,-0.049047416
-0.225563294,-0.048946001
-0.223374175,-0.048495054
-0.217801608,-0.047828678
-0.21593368,-0.045294071
-0.215512311,-0.042851295
-0.214040719,-0.042121892
-0.211852659,-0.04095348
-0.207939734,-0.040050521
-0.20249525,-0.03922653
-0.202073623,-0.0370634
-0.199617876,-0.0328489
-0.199296621,-0.032367223
-0.197488796,-0.028376681
-0.197296688,-0.025771716
-0.197043377,-0.014459326
-0.196002382,-0.013232064
-0.195178033,-0.009329377
-0.194960015,-0.006060765
-0.193933456,-3.03E-05
-0.193106462,6.47E-05
-0.189283182,0.006076017
-0.186749648,0.011053696
-0.185232613,0.011289196
-0.185219417,0.011605075
-0.182196013,0.013117793
-0.180514158,0.013166258
-0.179037939,0.014317381
-0.172124611,0.016160256
-0.167269226,0.019317907
-0.164116322,0.020217656
-0.161853279,0.020659388
-0.161823033,0.021374427
-0.158547349,0.021966696
-0.157593509,0.023744766
-0.153922699,0.024992287
-0.153910908,0.025821126
-0.153450537,0.026952689
-0.152508761,0.027163995
-0.149621309,0.027516744
-0.147615871,0.028303125
-0.146405086,0.028554005
-0.144633406,0.029665475
-0.141383382,0.031262928
-0.140396419,0.03204987
-0.13598297,0.032279397
-0.134602674,0.032651359
-0.134463131,0.033866917
-0.134446112,0.035857901
-0.13419093,0.036052151
-0.134007741,0.037630287
-0.130822887,0.04180047
-0.130136873,0.042102427
-0.130100717,0.04361847
-0.129727083,0.045391371
-0.125573773,0.045687485
-0.120482788,0.048084891
-0.120416057,0.050247117
-0.114875446,0.051502466
-0.114073657,0.051756394
-0.110191781,0.053164422
-0.109365177,0.053352017
-0.109091043,0.054246087
-0.108161882,0.056425736
-0.107793879,0.061807929
-0.106760386,0.063092431
-0.10466901,0.063698158
-0.103256343,0.06383344
-0.102055632,0.065495939
-0.095138014,0.065875633
-0.091752994,0.066275509
-0.089503912,0.066696955
-0.088865402,0.070020955
-0.088472673,0.075221521
-0.088127482,0.077290084
-0.08773065,0.080892434
-0.087506978,0.081448914
-0.08718692,0.083101892
-0.087109938,0.084337895
-0.084484344,0.084440834
-0.084337332,0.084603728
-0.083891124,0.085391844
-0.081384796,0.090339849
-0.079665413,0.090495422
-0.079439305,0.090637794
-0.079101266,0.091763708
-0.077983227,0.092247694
-0.076915418,0.09232208
-0.076108072,0.092643901
-0.074614735,0.092919167
-0.073972899,0.096222231
-0.069532498,0.096815016
-0.068156424,0.096861261
-0.06769329,0.097469699
-0.067301626,0.098408254
-0.065886291,0.098876946
-0.063639587,0.099059295
